name;version;license;copyrights;end-of-support;dependencies;language;repository;email;URL;;;;
jettison;1.3.1;CDDL  GPL;;;;java;Central Repository;;https://mvnrepository.com/artifact/org.codehaus.jettison/jettison/1.3.1;;;;
stax-api;1.0.1;The Apache Software License;;;;java;Central Repository;;https://mvnrepository.com/artifact/stax/stax-api/1.0.1;;;;
commons-logging;1.1.1;The Apache Software License;;;;java;Central Repository;;http://commons.apache.org/logging;;;;
aopalliance;1.0;Public Domain;;;;java;Central Repository;;https://mvnrepository.com/artifact/aopalliance/aopalliance/1.0;;;;
cglib;2.2.2;ASF BSD;;;;java;Central Repository;;https://mvnrepository.com/artifact/cglib/cglib/2.2.2;;;;
asm;3.3.1;BSD;;;;java;Central Repository;;https://mvnrepository.com/artifact/asm/asm/3.3.1;;;;
commons-discovery;0.4;The Apache Software License;;;;java;Central Repository;;https://mvnrepository.com/artifact/commons-discovery/commons-discovery/0.4;;;;
spring-core;4.3.24.RELEASE;The Apache Software License;;;;java;Central Repository;;https://mvnrepository.com/artifact/org.springframework/spring-core/4.3.24.RELEASE;;;;
spring-context;4.3.24.RELEASE;The Apache Software License;;;;java;Central Repository;;https://mvnrepository.com/artifact/org.springframework/spring-context/4.3.24.RELEASE;;;;
spring-aop;4.3.24.RELEASE;The Apache Software License;;;;java;Central Repository;;https://mvnrepository.com/artifact/org.springframework/spring-aop/4.3.24.RELEASE;;;;
spring-jdbc;4.3.24.RELEASE;The Apache Software License;;;;java;Central Repository;;https://mvnrepository.com/artifact/org.springframework/spring-jdbc/4.3.24.RELEASE;;;;
spring-tx;4.3.24.RELEASE;The Apache Software License;;;;java;Central Repository;;https://mvnrepository.com/artifact/org.springframework/spring-tx/4.3.24.RELEASE;;;;
spring-beans;4.3.24.RELEASE;The Apache Software License;;;;java;Central Repository;;"
https://mvnrepository.com/artifact/org.springframework/spring-beans/4.3.24.RELEASE";;;;
spring-expression;4.3.24.RELEASE;The Apache Software License;;;;java;Central Repository;;https://mvnrepository.com/artifact/org.springframework/spring-expression/4.3.24.RELEASE;;;;
spring-web;4.3.24.RELEASE;The Apache Software License;;;;java;Central Repository;;https://mvnrepository.com/artifact/org.springframework/spring-web/4.3.24.RELEASE;;;;
